doc_id	segment_id	source_lang	target_lang	set_id	system_id	domain_name	method	overall
en-ja_JP_#_literary_#_rink_rats_chapter1	1	en	ja	challenge_condrift	hyp-1	literary	NaN	-5.486161708831787
en-ja_JP_#_literary_#_rink_rats_chapter1	1	en	ja	challenge_condrift	hyp-2	literary	NaN	-5.504854679107666
en-ja_JP_#_literary_#_rink_rats_chapter1	1	en	ja	challenge_condrift	hyp-3	literary	NaN	-10.146005630493164
en-ja_JP_#_literary_#_rink_rats_chapter1	1	en	ja	challenge_condrift	hyp-4	literary	NaN	-7.449570655822754
en-ja_JP_#_literary_#_rink_rats_chapter1	2	en	ja	challenge_condrift	hyp-1	literary	NaN	-5.174008369445801
en-ja_JP_#_literary_#_rink_rats_chapter1	2	en	ja	challenge_condrift	hyp-2	literary	NaN	-5.174008369445801
en-ja_JP_#_literary_#_rink_rats_chapter1	2	en	ja	challenge_condrift	hyp-3	literary	NaN	-4.49534797668457
en-ja_JP_#_literary_#_rink_rats_chapter1	2	en	ja	challenge_condrift	hyp-4	literary	NaN	-3.684744358062744
en-ja_JP_#_literary_#_rink_rats_chapter1	3	en	ja	challenge_condrift	hyp-1	literary	NaN	-6.414023399353027
en-ja_JP_#_literary_#_rink_rats_chapter1	3	en	ja	challenge_condrift	hyp-2	literary	NaN	-8.52005672454834
en-ja_JP_#_literary_#_rink_rats_chapter1	3	en	ja	challenge_condrift	hyp-3	literary	NaN	-8.4138822555542
en-ja_JP_#_literary_#_rink_rats_chapter1	3	en	ja	challenge_condrift	hyp-4	literary	NaN	-6.467555046081543
en-ja_JP_#_literary_#_rink_rats_chapter1	4	en	ja	challenge_condrift	hyp-1	literary	NaN	-8.412721633911133
en-ja_JP_#_literary_#_rink_rats_chapter1	4	en	ja	challenge_condrift	hyp-2	literary	NaN	-9.925046920776367
en-ja_JP_#_literary_#_rink_rats_chapter1	4	en	ja	challenge_condrift	hyp-3	literary	NaN	-8.796072006225586
en-ja_JP_#_literary_#_rink_rats_chapter1	4	en	ja	challenge_condrift	hyp-4	literary	NaN	-7.933135032653809
en-ja_JP_#_literary_#_rink_rats_chapter1	5	en	ja	challenge_condrift	hyp-1	literary	NaN	-5.433351039886475
en-ja_JP_#_literary_#_rink_rats_chapter1	5	en	ja	challenge_condrift	hyp-2	literary	NaN	-6.149943828582764
en-ja_JP_#_literary_#_rink_rats_chapter1	5	en	ja	challenge_condrift	hyp-3	literary	NaN	-7.032602310180664
en-ja_JP_#_literary_#_rink_rats_chapter1	5	en	ja	challenge_condrift	hyp-4	literary	NaN	-6.919546127319336
en-ja_JP_#_literary_#_rink_rats_chapter1	6	en	ja	challenge_condrift	hyp-1	literary	NaN	-7.888889312744141
en-ja_JP_#_literary_#_rink_rats_chapter1	6	en	ja	challenge_condrift	hyp-2	literary	NaN	-12.025957107543945
en-ja_JP_#_literary_#_rink_rats_chapter1	6	en	ja	challenge_condrift	hyp-3	literary	NaN	-12.432229995727539
en-ja_JP_#_literary_#_rink_rats_chapter1	6	en	ja	challenge_condrift	hyp-4	literary	NaN	-9.619840621948242
en-ja_JP_#_literary_#_rink_rats_chapter1	7	en	ja	challenge_condrift	hyp-1	literary	NaN	-6.052468299865723
