doc_id	segment_id	source_lang	target_lang	set_id	system_id	domain_name	method	overall
en-cs_CZ_#_news_#_nytimes.153341-s	1	cs	en	challenge_mslc-b	hyp-1	news	NaN	76.96165466308594
en-cs_CZ_#_news_#_nytimes.153341-s	2	cs	en	challenge_mslc-b	hyp-1	news	NaN	74.78535461425781
en-cs_CZ_#_news_#_brisbanetimes.com.au.306576-s	3	cs	en	challenge_mslc-b	hyp-1	news	NaN	75.1070327758789
en-cs_CZ_#_news_#_guardian.231311-s	4	cs	en	challenge_mslc-b	hyp-1	news	NaN	75.13191986083984
en-cs_CZ_#_news_#_cnbc.com.52094-s	5	cs	en	challenge_mslc-b	hyp-1	news	NaN	81.83211517333984
en-cs_CZ_#_news_#_nytimes.153341-s	6	cs	en	challenge_mslc-b	hyp-1	news	NaN	77.58988189697266
en-cs_CZ_#_news_#_guardian.229703-s	7	cs	en	challenge_mslc-b	hyp-1	news	NaN	62.57476806640625
en-cs_CZ_#_news_#_guardian.228996-s	8	cs	en	challenge_mslc-b	hyp-1	news	NaN	73.52621459960938
en-cs_CZ_#_news_#_guardian.229703-s	9	cs	en	challenge_mslc-b	hyp-1	news	NaN	72.18009948730469
en-cs_CZ_#_news_#_guardian.230737-s	10	cs	en	challenge_mslc-b	hyp-1	news	NaN	76.87439727783203
en-cs_CZ_#_news_#_nytimes.153341-s	11	cs	en	challenge_mslc-b	hyp-1	news	NaN	78.83130645751953
en-cs_CZ_#_news_#_guardian.228996-s	12	cs	en	challenge_mslc-b	hyp-1	news	NaN	75.15914916992188
en-cs_CZ_#_news_#_guardian.228996-s	13	cs	en	challenge_mslc-b	hyp-1	news	NaN	77.00887298583984
en-cs_CZ_#_news_#_guardian.229703-s	14	cs	en	challenge_mslc-b	hyp-1	news	NaN	75.2521743774414
en-cs_CZ_#_news_#_guardian.230238-s	15	cs	en	challenge_mslc-b	hyp-1	news	NaN	56.61809158325195
en-cs_CZ_#_news_#_guardian.230737-s	16	cs	en	challenge_mslc-b	hyp-1	news	NaN	73.64703369140625
en-cs_CZ_#_news_#_brisbanetimes.com.au.306576-s	17	cs	en	challenge_mslc-b	hyp-1	news	NaN	85.01019287109375
en-cs_CZ_#_news_#_nytimes.153341-s	18	cs	en	challenge_mslc-b	hyp-1	news	NaN	74.3697280883789
en-cs_CZ_#_news_#_nytimes.153341-s	19	cs	en	challenge_mslc-b	hyp-1	news	NaN	78.0997314453125
en-cs_CZ_#_news_#_guardian.231314-s	20	cs	en	challenge_mslc-b	hyp-1	news	NaN	80.14110565185547
en-cs_CZ_#_news_#_nytimes.153341-k	21	cs	en	challenge_mslc-b	hyp-1	news	NaN	76.76358032226562
en-cs_CZ_#_news_#_nytimes.153341-k	22	cs	en	challenge_mslc-b	hyp-1	news	NaN	73.75733184814453
en-cs_CZ_#_news_#_brisbanetimes.com.au.306576-k	23	cs	en	challenge_mslc-b	hyp-1	news	NaN	75.24417877197266
en-cs_CZ_#_news_#_guardian.231311-k	24	cs	en	challenge_mslc-b	hyp-1	news	NaN	77.3157730102539
en-cs_CZ_#_news_#_cnbc.com.52094-k	25	cs	en	challenge_mslc-b	hyp-1	news	NaN	82.02715301513672
