domain	doc_id
literary	ja-zh_CN_#_literary_#_おもかげ
literary	ja-zh_CN_#_literary_#_美少女一番乗り
news	ja-zh_CN_#_news_#_hokkaido_shimbun-ja.82362
news	ja-zh_CN_#_news_#_ise_shimbun-ja.13302
news	ja-zh_CN_#_news_#_ise_shimbun-ja.13386
news	ja-zh_CN_#_news_#_ise_shimbun-ja.13411
news	ja-zh_CN_#_news_#_iwate_nichinichi_shimbun-ja.8089
news	ja-zh_CN_#_news_#_iwate_nichinichi_shimbun-ja.8098
news	ja-zh_CN_#_news_#_iwate_nichinichi_shimbun-ja.8104
news	ja-zh_CN_#_news_#_iwate_nichinichi_shimbun-ja.8189
news	ja-zh_CN_#_news_#_iwate_nichinichi_shimbun-ja.8204
news	ja-zh_CN_#_news_#_iwate_nippo-ja.27441
news	ja-zh_CN_#_news_#_iwate_nippo-ja.27472
news	ja-zh_CN_#_news_#_iwate_nippo-ja.27622
news	ja-zh_CN_#_news_#_iwate_nippo-ja.27826
news	ja-zh_CN_#_news_#_nankai_nichinichi_shimbun-ja.6127
news	ja-zh_CN_#_news_#_saga_shimbun-ja.46199
news	ja-zh_CN_#_news_#_saga_shimbun-ja.46235
news	ja-zh_CN_#_news_#_saga_shimbun-ja.46387
news	ja-zh_CN_#_news_#_saga_shimbun-ja.46491
news	ja-zh_CN_#_news_#_saga_shimbun-ja.46621
news	ja-zh_CN_#_news_#_saga_shimbun-ja.46659
news	ja-zh_CN_#_news_#_saga_shimbun-ja.46689
news	ja-zh_CN_#_news_#_saga_shimbun-ja.46796
news	ja-zh_CN_#_news_#_sanyo_shimbun-ja.32196
news	ja-zh_CN_#_news_#_sanyo_shimbun-ja.32201
news	ja-zh_CN_#_news_#_sanyo_shimbun-ja.32232
news	ja-zh_CN_#_news_#_yaeyama_mainichi_shimbun-ja.3993
news	ja-zh_CN_#_news_#_yaeyama_mainichi_shimbun-ja.4011
news	ja-zh_CN_#_news_#_yaeyama_mainichi_shimbun-ja.4014
news	ja-zh_CN_#_news_#_yaeyama_mainichi_shimbun-ja.4029
news	ja-zh_CN_#_news_#_yaeyama_mainichi_shimbun-ja.4035
news	ja-zh_CN_#_news_#_yaeyama_mainichi_shimbun-ja.4038
news	ja-zh_CN_#_news_#_yaeyama_mainichi_shimbun-ja.4050
social	ja-zh_CN_#_social_#_114072392439316299
social	ja-zh_CN_#_social_#_114092272183025881
social	ja-zh_CN_#_social_#_114117591747890137
social	ja-zh_CN_#_social_#_114126879721488640
social	ja-zh_CN_#_social_#_114168682952422783
social	ja-zh_CN_#_social_#_114195113317047884
social	ja-zh_CN_#_social_#_114251481107415060
social	ja-zh_CN_#_social_#_114268340564676096
social	ja-zh_CN_#_social_#_114292385134377204
social	ja-zh_CN_#_social_#_114296407649759778
social	ja-zh_CN_#_social_#_114300678336668391
social	ja-zh_CN_#_social_#_114304481955008440
social	ja-zh_CN_#_social_#_114382174118881540
speech	ja-zh_CN_#_speech_#_vid_1bM7hrli2V0
speech	ja-zh_CN_#_speech_#_vid_1cVW8Ga4OsU
speech	ja-zh_CN_#_speech_#_vid_36AV0rDmfQA
speech	ja-zh_CN_#_speech_#_vid_5WVkaFo1ID8
