doc_id	segment_id	source_lang	target_lang	set_id	system_id	domain_name	method	overall
en-cs_CZ_#_news_#_nytimes.153341-s	1	cs	en	challenge_mslc-b	hyp-1	news	NaN	-1.0723074674606323
en-cs_CZ_#_news_#_nytimes.153341-s	2	cs	en	challenge_mslc-b	hyp-1	news	NaN	-0.18145622313022614
en-cs_CZ_#_news_#_brisbanetimes.com.au.306576-s	3	cs	en	challenge_mslc-b	hyp-1	news	NaN	0.18116049468517303
en-cs_CZ_#_news_#_guardian.231311-s	4	cs	en	challenge_mslc-b	hyp-1	news	NaN	-0.2352023422718048
en-cs_CZ_#_news_#_cnbc.com.52094-s	5	cs	en	challenge_mslc-b	hyp-1	news	NaN	0.2915244996547699
en-cs_CZ_#_news_#_nytimes.153341-s	6	cs	en	challenge_mslc-b	hyp-1	news	NaN	-0.7651066780090332
en-cs_CZ_#_news_#_guardian.229703-s	7	cs	en	challenge_mslc-b	hyp-1	news	NaN	-0.8752062320709229
en-cs_CZ_#_news_#_guardian.228996-s	8	cs	en	challenge_mslc-b	hyp-1	news	NaN	-0.21536917984485626
en-cs_CZ_#_news_#_guardian.229703-s	9	cs	en	challenge_mslc-b	hyp-1	news	NaN	-0.5037161111831665
en-cs_CZ_#_news_#_guardian.230737-s	10	cs	en	challenge_mslc-b	hyp-1	news	NaN	0.5360692739486694
en-cs_CZ_#_news_#_nytimes.153341-s	11	cs	en	challenge_mslc-b	hyp-1	news	NaN	-1.457568645477295
en-cs_CZ_#_news_#_guardian.228996-s	12	cs	en	challenge_mslc-b	hyp-1	news	NaN	-0.8559883236885071
en-cs_CZ_#_news_#_guardian.228996-s	13	cs	en	challenge_mslc-b	hyp-1	news	NaN	-1.1071652173995972
en-cs_CZ_#_news_#_guardian.229703-s	14	cs	en	challenge_mslc-b	hyp-1	news	NaN	-0.5422142744064331
en-cs_CZ_#_news_#_guardian.230238-s	15	cs	en	challenge_mslc-b	hyp-1	news	NaN	-0.5232400894165039
en-cs_CZ_#_news_#_guardian.230737-s	16	cs	en	challenge_mslc-b	hyp-1	news	NaN	-0.904024600982666
en-cs_CZ_#_news_#_brisbanetimes.com.au.306576-s	17	cs	en	challenge_mslc-b	hyp-1	news	NaN	0.14441458880901337
en-cs_CZ_#_news_#_nytimes.153341-s	18	cs	en	challenge_mslc-b	hyp-1	news	NaN	-0.035533513873815536
en-cs_CZ_#_news_#_nytimes.153341-s	19	cs	en	challenge_mslc-b	hyp-1	news	NaN	-1.1317367553710938
en-cs_CZ_#_news_#_guardian.231314-s	20	cs	en	challenge_mslc-b	hyp-1	news	NaN	0.5803600549697876
en-cs_CZ_#_news_#_nytimes.153341-k	21	cs	en	challenge_mslc-b	hyp-1	news	NaN	-1.1096097230911255
en-cs_CZ_#_news_#_nytimes.153341-k	22	cs	en	challenge_mslc-b	hyp-1	news	NaN	-0.21537722647190094
en-cs_CZ_#_news_#_brisbanetimes.com.au.306576-k	23	cs	en	challenge_mslc-b	hyp-1	news	NaN	0.1818953901529312
en-cs_CZ_#_news_#_guardian.231311-k	24	cs	en	challenge_mslc-b	hyp-1	news	NaN	-0.3163617253303528
en-cs_CZ_#_news_#_cnbc.com.52094-k	25	cs	en	challenge_mslc-b	hyp-1	news	NaN	0.2830234467983246
en-cs_CZ_#_news_#_nytimes.153341-k	26	cs	en	challenge_mslc-b	hyp-1	news	NaN	-0.7640066146850586
en-cs_CZ_#_news_#_guardian.229703-k	27	cs	en	challenge_mslc-b	hyp-1	news	NaN	-1.0643197298049927
en-cs_CZ_#_news_#_guardian.228996-k	28	cs	en	challenge_mslc-b	hyp-1	news	NaN	-0.22591061890125275
en-cs_CZ_#_news_#_guardian.229703-k	29	cs	en	challenge_mslc-b	hyp-1	news	NaN	-0.46264398097991943
en-cs_CZ_#_news_#_guardian.230737-k	30	cs	en	challenge_mslc-b	hyp-1	news	NaN	0.5230312347412109
en-cs_CZ_#_news_#_nytimes.153341-k	31	cs	en	challenge_mslc-b	hyp-1	news	NaN	-1.4727299213409424
en-cs_CZ_#_news_#_guardian.228996-k	32	cs	en	challenge_mslc-b	hyp-1	news	NaN	-0.8737026453018188
en-cs_CZ_#_news_#_guardian.228996-k	33	cs	en	challenge_mslc-b	hyp-1	news	NaN	-1.066047191619873
en-cs_CZ_#_news_#_guardian.229703-k	34	cs	en	challenge_mslc-b	hyp-1	news	NaN	-0.4992513656616211
en-cs_CZ_#_news_#_guardian.230238-k	35	cs	en	challenge_mslc-b	hyp-1	news	NaN	-0.5778664946556091
en-cs_CZ_#_news_#_guardian.230737-k	36	cs	en	challenge_mslc-b	hyp-1	news	NaN	-0.9027766585350037
en-cs_CZ_#_news_#_brisbanetimes.com.au.306576-k	37	cs	en	challenge_mslc-b	hyp-1	news	NaN	0.18037934601306915
en-cs_CZ_#_news_#_nytimes.153341-k	38	cs	en	challenge_mslc-b	hyp-1	news	NaN	-0.124846450984478
en-cs_CZ_#_news_#_nytimes.153341-k	39	cs	en	challenge_mslc-b	hyp-1	news	NaN	-1.1266947984695435
en-cs_CZ_#_news_#_guardian.231314-k	40	cs	en	challenge_mslc-b	hyp-1	news	NaN	0.5867519378662109
en-cs_CZ_#_news_#_nytimes.153341-smis	41	cs	en	challenge_mslc-b	hyp-1	news	NaN	-1.0723060369491577
en-cs_CZ_#_news_#_nytimes.153341-smis	42	cs	en	challenge_mslc-b	hyp-1	news	NaN	-0.18145622313022614
en-cs_CZ_#_news_#_brisbanetimes.com.au.306576-smis	43	cs	en	challenge_mslc-b	hyp-1	news	NaN	0.1811610758304596
en-cs_CZ_#_news_#_guardian.231311-smis	44	cs	en	challenge_mslc-b	hyp-1	news	NaN	-0.2352023422718048
en-cs_CZ_#_news_#_cnbc.com.52094-smis	45	cs	en	challenge_mslc-b	hyp-1	news	NaN	0.2915244996547699
en-cs_CZ_#_news_#_nytimes.153341-smis	46	cs	en	challenge_mslc-b	hyp-1	news	NaN	-0.7651066780090332
