doc_id	segment_id	source_lang	target_lang	set_id	system_id	domain_name	method	overall
en-ja_JP_#_news_#_brisbanetimes.com.au.306576	1	ja	zh_CN	challenge_mslc-b1	hyp-1	news	NaN	-14.465492248535156
en-ja_JP_#_news_#_brisbanetimes.com.au.306576	1	ja	zh_CN	challenge_mslc-b1	hyp-2	news	NaN	-22.847116470336914
en-ja_JP_#_news_#_brisbanetimes.com.au.306576	2	ja	zh_CN	challenge_mslc-b1	hyp-1	news	NaN	-13.143793106079102
en-ja_JP_#_news_#_brisbanetimes.com.au.306576	2	ja	zh_CN	challenge_mslc-b1	hyp-2	news	NaN	-18.564437866210938
en-ja_JP_#_news_#_brisbanetimes.com.au.306576	3	ja	zh_CN	challenge_mslc-b1	hyp-1	news	NaN	-16.60218048095703
en-ja_JP_#_news_#_brisbanetimes.com.au.306576	3	ja	zh_CN	challenge_mslc-b1	hyp-2	news	NaN	-20.2052059173584
en-ja_JP_#_news_#_brisbanetimes.com.au.306576	4	ja	zh_CN	challenge_mslc-b1	hyp-1	news	NaN	-13.387298583984375
en-ja_JP_#_news_#_brisbanetimes.com.au.306576	4	ja	zh_CN	challenge_mslc-b1	hyp-2	news	NaN	-20.77519989013672
en-ja_JP_#_news_#_brisbanetimes.com.au.306576	5	ja	zh_CN	challenge_mslc-b1	hyp-1	news	NaN	-17.412521362304688
en-ja_JP_#_news_#_brisbanetimes.com.au.306576	5	ja	zh_CN	challenge_mslc-b1	hyp-2	news	NaN	-25.39910888671875
en-ja_JP_#_news_#_brisbanetimes.com.au.306576	6	ja	zh_CN	challenge_mslc-b1	hyp-1	news	NaN	-11.557263374328613
en-ja_JP_#_news_#_brisbanetimes.com.au.306576	6	ja	zh_CN	challenge_mslc-b1	hyp-2	news	NaN	-19.728492736816406
en-ja_JP_#_news_#_cnbc.com.52094	7	ja	zh_CN	challenge_mslc-b1	hyp-1	news	NaN	-9.966060638427734
en-ja_JP_#_news_#_cnbc.com.52094	7	ja	zh_CN	challenge_mslc-b1	hyp-2	news	NaN	-13.26795482635498
en-ja_JP_#_news_#_cnbc.com.52094	8	ja	zh_CN	challenge_mslc-b1	hyp-1	news	NaN	-16.44721221923828
en-ja_JP_#_news_#_cnbc.com.52094	8	ja	zh_CN	challenge_mslc-b1	hyp-2	news	NaN	-22.46259307861328
en-ja_JP_#_news_#_cnbc.com.52094	9	ja	zh_CN	challenge_mslc-b1	hyp-1	news	NaN	-13.591713905334473
en-ja_JP_#_news_#_cnbc.com.52094	9	ja	zh_CN	challenge_mslc-b1	hyp-2	news	NaN	-15.687768936157227
en-ja_JP_#_news_#_cnbc.com.52094	10	ja	zh_CN	challenge_mslc-b1	hyp-1	news	NaN	-14.059795379638672
en-ja_JP_#_news_#_cnbc.com.52094	10	ja	zh_CN	challenge_mslc-b1	hyp-2	news	NaN	-16.009628295898438
en-ja_JP_#_news_#_guardian.230737	11	ja	zh_CN	challenge_mslc-b1	hyp-1	news	NaN	-8.822437286376953
en-ja_JP_#_news_#_guardian.230737	11	ja	zh_CN	challenge_mslc-b1	hyp-2	news	NaN	-9.699188232421875
en-ja_JP_#_news_#_guardian.230737	12	ja	zh_CN	challenge_mslc-b1	hyp-1	news	NaN	-16.52557373046875
en-ja_JP_#_news_#_guardian.230737	12	ja	zh_CN	challenge_mslc-b1	hyp-2	news	NaN	-25.397260665893555
en-ja_JP_#_news_#_guardian.230737	13	ja	zh_CN	challenge_mslc-b1	hyp-1	news	NaN	-15.837394714355469
en-ja_JP_#_news_#_guardian.230737	13	ja	zh_CN	challenge_mslc-b1	hyp-2	news	NaN	-22.580217361450195
en-ja_JP_#_news_#_guardian.230737	14	ja	zh_CN	challenge_mslc-b1	hyp-1	news	NaN	-20.1027774810791
en-ja_JP_#_news_#_guardian.230737	14	ja	zh_CN	challenge_mslc-b1	hyp-2	news	NaN	-28.263933181762695
en-ja_JP_#_news_#_guardian.230737	15	ja	zh_CN	challenge_mslc-b1	hyp-1	news	NaN	-19.44805145263672
en-ja_JP_#_news_#_guardian.230737	15	ja	zh_CN	challenge_mslc-b1	hyp-2	news	NaN	-22.584964752197266
en-ja_JP_#_news_#_guardian.230737	16	ja	zh_CN	challenge_mslc-b1	hyp-1	news	NaN	-17.142681121826172
en-ja_JP_#_news_#_guardian.230737	16	ja	zh_CN	challenge_mslc-b1	hyp-2	news	NaN	-22.966411590576172
en-ja_JP_#_news_#_guardian.230737	17	ja	zh_CN	challenge_mslc-b1	hyp-1	news	NaN	-19.091556549072266
en-ja_JP_#_news_#_guardian.230737	17	ja	zh_CN	challenge_mslc-b1	hyp-2	news	NaN	-25.93319320678711
en-ja_JP_#_news_#_guardian.230737	18	ja	zh_CN	challenge_mslc-b1	hyp-1	news	NaN	-17.1691837310791
en-ja_JP_#_news_#_guardian.230737	18	ja	zh_CN	challenge_mslc-b1	hyp-2	news	NaN	-27.252159118652344
