doc_id	segment_id	source_lang	target_lang	set_id	system_id	domain_name	method	overall
en-cs_CZ_#_literary_#_rink_rats_chapter1	1	en	cs_CZ	official	Yolu	literary	ESA	93
en-cs_CZ_#_literary_#_rink_rats_chapter1	2	en	cs_CZ	official	Yolu	literary	ESA	90
en-cs_CZ_#_literary_#_rink_rats_chapter1	3	en	cs_CZ	official	Yolu	literary	ESA	87
en-cs_CZ_#_literary_#_rink_rats_chapter1	4	en	cs_CZ	official	Yolu	literary	ESA	92
en-cs_CZ_#_literary_#_rink_rats_chapter1	5	en	cs_CZ	official	Yolu	literary	ESA	94
en-cs_CZ_#_literary_#_rink_rats_chapter1	6	en	cs_CZ	official	Yolu	literary	ESA	92
en-cs_CZ_#_literary_#_rink_rats_chapter1	7	en	cs_CZ	official	Yolu	literary	ESA	93
en-cs_CZ_#_literary_#_rink_rats_chapter1	8	en	cs_CZ	official	Yolu	literary	ESA	83
en-cs_CZ_#_literary_#_rink_rats_chapter1	9	en	cs_CZ	official	Yolu	literary	ESA	94
en-cs_CZ_#_literary_#_rink_rats_chapter1	10	en	cs_CZ	official	Yolu	literary	ESA	94
en-cs_CZ_#_literary_#_rink_rats_chapter1	11	en	cs_CZ	official	Yolu	literary	ESA	91
en-cs_CZ_#_literary_#_rink_rats_chapter1	12	en	cs_CZ	official	Yolu	literary	ESA	90
en-cs_CZ_#_literary_#_rink_rats_chapter1	13	en	cs_CZ	official	Yolu	literary	ESA	90
en-cs_CZ_#_literary_#_rink_rats_chapter1	14	en	cs_CZ	official	Yolu	literary	ESA	86
en-cs_CZ_#_literary_#_rink_rats_chapter1	15	en	cs_CZ	official	Yolu	literary	ESA	93
en-cs_CZ_#_literary_#_rink_rats_chapter1	16	en	cs_CZ	official	Yolu	literary	ESA	88
en-cs_CZ_#_literary_#_rink_rats_chapter1	17	en	cs_CZ	official	Yolu	literary	ESA	88
en-cs_CZ_#_literary_#_rink_rats_chapter1	18	en	cs_CZ	official	Yolu	literary	ESA	85
en-cs_CZ_#_literary_#_rink_rats_chapter1	19	en	cs_CZ	official	Yolu	literary	ESA	85
en-cs_CZ_#_literary_#_rink_rats_chapter1	20	en	cs_CZ	official	Yolu	literary	ESA	93
en-cs_CZ_#_literary_#_rink_rats_chapter1	21	en	cs_CZ	official	Yolu	literary	ESA	94
en-cs_CZ_#_literary_#_rink_rats_chapter1	22	en	cs_CZ	official	Yolu	literary	ESA	87
en-cs_CZ_#_literary_#_rink_rats_chapter1	23	en	cs_CZ	official	Yolu	literary	ESA	90
en-cs_CZ_#_literary_#_rink_rats_chapter1	24	en	cs_CZ	official	Yolu	literary	ESA	91
en-cs_CZ_#_literary_#_rink_rats_chapter1	25	en	cs_CZ	official	Yolu	literary	ESA	89
en-cs_CZ_#_literary_#_rink_rats_chapter1	26	en	cs_CZ	official	Yolu	literary	ESA	91
en-cs_CZ_#_literary_#_rink_rats_chapter1	27	en	cs_CZ	official	Yolu	literary	ESA	87
en-cs_CZ_#_literary_#_rink_rats_chapter1	28	en	cs_CZ	official	Yolu	literary	ESA	88
en-cs_CZ_#_literary_#_rink_rats_chapter1	29	en	cs_CZ	official	Yolu	literary	ESA	88
en-cs_CZ_#_literary_#_rink_rats_chapter1	30	en	cs_CZ	official	Yolu	literary	ESA	93
en-cs_CZ_#_literary_#_rink_rats_chapter1	31	en	cs_CZ	official	Yolu	literary	ESA	91
en-cs_CZ_#_literary_#_rink_rats_chapter1	32	en	cs_CZ	official	Yolu	literary	ESA	88
en-cs_CZ_#_literary_#_rink_rats_chapter1	33	en	cs_CZ	official	Yolu	literary	ESA	94
en-cs_CZ_#_literary_#_rink_rats_chapter1	34	en	cs_CZ	official	Yolu	literary	ESA	90
en-cs_CZ_#_literary_#_rink_rats_chapter1	35	en	cs_CZ	official	Yolu	literary	ESA	87
en-cs_CZ_#_literary_#_rink_rats_chapter1	36	en	cs_CZ	official	Yolu	literary	ESA	91
en-cs_CZ_#_literary_#_rink_rats_chapter1	37	en	cs_CZ	official	Yolu	literary	ESA	83
en-cs_CZ_#_literary_#_rink_rats_chapter1	38	en	cs_CZ	official	Yolu	literary	ESA	81
en-cs_CZ_#_literary_#_rink_rats_chapter1	39	en	cs_CZ	official	Yolu	literary	ESA	86
en-cs_CZ_#_literary_#_rink_rats_chapter1	40	en	cs_CZ	official	Yolu	literary	ESA	92
en-cs_CZ_#_literary_#_rink_rats_chapter1	41	en	cs_CZ	official	Yolu	literary	ESA	94
en-cs_CZ_#_literary_#_rink_rats_chapter1	42	en	cs_CZ	official	Yolu	literary	ESA	90
en-cs_CZ_#_literary_#_rink_rats_chapter2	43	en	cs_CZ	official	Yolu	literary	ESA	92
en-cs_CZ_#_literary_#_rink_rats_chapter2	44	en	cs_CZ	official	Yolu	literary	ESA	88
en-cs_CZ_#_literary_#_rink_rats_chapter2	45	en	cs_CZ	official	Yolu	literary	ESA	87
en-cs_CZ_#_literary_#_rink_rats_chapter2	46	en	cs_CZ	official	Yolu	literary	ESA	85
en-cs_CZ_#_literary_#_rink_rats_chapter2	47	en	cs_CZ	official	Yolu	literary	ESA	93
en-cs_CZ_#_literary_#_rink_rats_chapter2	48	en	cs_CZ	official	Yolu	literary	ESA	89
en-cs_CZ_#_literary_#_rink_rats_chapter2	49	en	cs_CZ	official	Yolu	literary	ESA	90
en-cs_CZ_#_literary_#_rink_rats_chapter2	50	en	cs_CZ	official	Yolu	literary	ESA	89
en-cs_CZ_#_literary_#_rink_rats_chapter2	51	en	cs_CZ	official	Yolu	literary	ESA	88
en-cs_CZ_#_literary_#_rink_rats_chapter2	52	en	cs_CZ	official	Yolu	literary	ESA	83
en-cs_CZ_#_literary_#_rink_rats_chapter2	53	en	cs_CZ	official	Yolu	literary	ESA	89
en-cs_CZ_#_literary_#_rink_rats_chapter2	54	en	cs_CZ	official	Yolu	literary	ESA	90
en-cs_CZ_#_literary_#_rink_rats_chapter2	55	en	cs_CZ	official	Yolu	literary	ESA	85
en-cs_CZ_#_literary_#_rink_rats_chapter2	56	en	cs_CZ	official	Yolu	literary	ESA	84
en-cs_CZ_#_literary_#_rink_rats_chapter2	57	en	cs_CZ	official	Yolu	literary	ESA	91
en-cs_CZ_#_literary_#_rink_rats_chapter2	58	en	cs_CZ	official	Yolu	literary	ESA	90
en-cs_CZ_#_literary_#_rink_rats_chapter2	59	en	cs_CZ	official	Yolu	literary	ESA	88
en-cs_CZ_#_literary_#_rink_rats_chapter2	60	en	cs_CZ	official	Yolu	literary	ESA	73
en-cs_CZ_#_literary_#_rink_rats_chapter2	61	en	cs_CZ	official	Yolu	literary	ESA	89
en-cs_CZ_#_literary_#_rink_rats_chapter2	62	en	cs_CZ	official	Yolu	literary	ESA	89
en-cs_CZ_#_literary_#_rink_rats_chapter2	63	en	cs_CZ	official	Yolu	literary	ESA	86
en-cs_CZ_#_literary_#_rink_rats_chapter2	64	en	cs_CZ	official	Yolu	literary	ESA	87
en-cs_CZ_#_literary_#_rink_rats_chapter2	65	en	cs_CZ	official	Yolu	literary	ESA	92
en-cs_CZ_#_literary_#_rink_rats_chapter2	66	en	cs_CZ	official	Yolu	literary	ESA	89
en-cs_CZ_#_literary_#_rink_rats_chapter2	67	en	cs_CZ	official	Yolu	literary	ESA	96
en-cs_CZ_#_literary_#_rink_rats_chapter2	68	en	cs_CZ	official	Yolu	literary	ESA	91
en-cs_CZ_#_literary_#_rink_rats_chapter2	69	en	cs_CZ	official	Yolu	literary	ESA	93
en-cs_CZ_#_literary_#_rink_rats_chapter2	70	en	cs_CZ	official	Yolu	literary	ESA	83
en-cs_CZ_#_literary_#_rink_rats_chapter2	71	en	cs_CZ	official	Yolu	literary	ESA	89
en-cs_CZ_#_literary_#_rink_rats_chapter2	72	en	cs_CZ	official	Yolu	literary	ESA	90
en-cs_CZ_#_literary_#_rink_rats_chapter2	73	en	cs_CZ	official	Yolu	literary	ESA	93
en-cs_CZ_#_literary_#_rink_rats_chapter2	74	en	cs_CZ	official	Yolu	literary	ESA	87
en-cs_CZ_#_literary_#_rink_rats_chapter2	75	en	cs_CZ	official	Yolu	literary	ESA	85
en-cs_CZ_#_literary_#_rink_rats_chapter2	76	en	cs_CZ	official	Yolu	literary	ESA	93
en-cs_CZ_#_literary_#_rink_rats_chapter2	77	en	cs_CZ	official	Yolu	literary	ESA	92
en-cs_CZ_#_literary_#_rink_rats_chapter2	78	en	cs_CZ	official	Yolu	literary	ESA	93
